id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,compression_ratio_pct,latency_ms,original_words,summary_words
28221671,0.1095890410958904,0.64,0.1871345029239766,0.05517241379310345,0.3333333333333333,0.09467455621301775,0.0821917808219178,0.48,0.14035087719298245,78.96,4.8999999999999995,675,142
37848685,0.07947019867549669,0.5714285714285714,0.13953488372093026,0.006666666666666667,0.05,0.011764705882352941,0.059602649006622516,0.42857142857142855,0.10465116279069767,74.74,4.0,578,146
39325318,0.06451612903225806,0.2,0.0975609756097561,0.0,0.0,0.0,0.06451612903225806,0.2,0.0975609756097561,68.06,2.4,191,61
34462476,0.05454545454545454,0.16666666666666666,0.08219178082191782,0.0,0.0,0.0,0.03636363636363636,0.1111111111111111,0.0547945205479452,65.41,2.3,159,55
39014189,0.06040268456375839,0.5294117647058824,0.10843373493975904,0.006756756756756757,0.0625,0.012195121951219513,0.040268456375838924,0.35294117647058826,0.07228915662650602,56.16,3.1,333,146
39251723,0.17391304347826086,0.32,0.22535211267605634,0.044444444444444446,0.08333333333333333,0.05797101449275363,0.13043478260869565,0.24,0.16901408450704222,66.14,2.2,127,43
36159560,0.1,0.3611111111111111,0.1566265060240964,0.007751937984496124,0.02857142857142857,0.012195121951219513,0.06153846153846154,0.2222222222222222,0.0963855421686747,68.4,3.5,405,128
36539762,0.05714285714285714,0.11764705882352941,0.07692307692307693,0.0,0.0,0.0,0.02857142857142857,0.058823529411764705,0.038461538461538464,72.22,2.1,126,35
36338244,0.02912621359223301,0.6666666666666666,0.05581395348837209,0.004878048780487805,0.125,0.009389671361502348,0.024271844660194174,0.5555555555555556,0.046511627906976744,67.42,4.7,623,203
38458744,0.19444444444444445,0.25925925925925924,0.2222222222222222,0.05714285714285714,0.07692307692307693,0.06557377049180328,0.1111111111111111,0.14814814814814814,0.12698412698412698,79.66,2.2,177,36
40761080,0.041666666666666664,0.13043478260869565,0.06315789473684211,0.0,0.0,0.0,0.041666666666666664,0.13043478260869565,0.06315789473684211,88.48,4.1000000000000005,625,72
34665648,0.16923076923076924,0.5789473684210527,0.2619047619047619,0.03125,0.1111111111111111,0.04878048780487805,0.09230769230769231,0.3157894736842105,0.14285714285714285,76.62,2.8,278,65
28317963,0.13846153846153847,0.391304347826087,0.20454545454545456,0.0,0.0,0.0,0.1076923076923077,0.30434782608695654,0.15909090909090912,77.09,2.9,275,63
39480963,0.056338028169014086,0.38095238095238093,0.09815950920245399,0.0,0.0,0.0,0.04225352112676056,0.2857142857142857,0.0736196319018405,72.96,4.0,514,139
36609576,0.1590909090909091,0.3684210526315789,0.22222222222222218,0.0,0.0,0.0,0.11363636363636363,0.2631578947368421,0.15873015873015872,72.33,2.3,159,44
40716323,0.08771929824561403,0.3333333333333333,0.1388888888888889,0.0,0.0,0.0,0.07017543859649122,0.26666666666666666,0.11111111111111112,82.03,3.0,306,55
